category,type,difficulty,question,correct_answer,incorrect_answers/0,incorrect_answers/1,incorrect_answers/2
Entertainment: Japanese Anime & Manga,multiple,medium,"In JoJo&#039;s Bizarre Adventure, winch character is able to accelerate time?",Enrico Pucci,Jotaro Kujo,Jolyne Cujoh,Kujo Jotaro
Entertainment: Japanese Anime & Manga,boolean,easy,Gosho Aoyama Made This Series: (Detective Conan / Case Closed!),True,False,,
Entertainment: Japanese Anime & Manga,boolean,easy,"In the &quot;Melancholy of Haruhi Suzumiya&quot; series, the narrator goes by the nickname Kyon.",True,False,,
Entertainment: Japanese Anime & Manga,boolean,medium,"The anime Attack on Titan was directed by Tetsurō Araki, the same person who directed the anime Highschool of the Dead.",True,False,,
Entertainment: Japanese Anime & Manga,multiple,easy,The name of Junko Enoshima&#039;s imposter at the beginning of Danganronpa: Trigger Happy Havoc is?,Mukuro Ikusaba,Ryota Mitarai,Ultimate Imposter,Komaru Naegi
Entertainment: Japanese Anime & Manga,multiple,easy,In the anime Noragami who is one of the main protagonists?,Yukine,Karuha,Mineha,Mayu
Entertainment: Japanese Anime & Manga,multiple,easy,In the anime Seven Deadly Sins what is the name of one of the sins?,Diane,Sakura,Ayano,Sheska
Entertainment: Japanese Anime & Manga,boolean,hard,"Throughout the entirety of &quot;Dragon Ball Z&quot;, Goku only kills two characters: a miniboss named Yakon and Kid Buu.",True,False,,
Entertainment: Japanese Anime & Manga,multiple,medium,What year did the anime &quot;Himouto! Umaru-chan&quot; air?,2015,2014,2012,2013
Entertainment: Japanese Anime & Manga,multiple,easy,"In &quot;A Certain Scientific Railgun&quot;, how many &quot;sisters&quot; did Accelerator have to kill to achieve the rumored level 6?","20,000",128,"10,000","5,000"
Entertainment: Japanese Anime & Manga,multiple,medium,Which animation studio animated the 2016 anime &quot;Mob Psycho 100&quot;?,Bones,A-1 Pictures,Shaft,Madhouse
Entertainment: Japanese Anime & Manga,boolean,easy,The name of the attack &quot;Kamehameha&quot; in Dragon Ball Z was named after a famous king of Hawaii.,True,False,,
Entertainment: Japanese Anime & Manga,multiple,easy,"What caused the titular mascot of Yo-Kai Watch, Jibanyan, to become a yokai?",Being run over by a truck,Ate one too many chocobars,Through a magical ritual,When he put on the harmaki
Entertainment: Japanese Anime & Manga,multiple,medium,Which of the following anime of the mecha genre began airing in 1982?,The Super Dimension Fortress Macross,Mobile Suit Gundam,Armored Trooper VOTOMS,Neon Genesis Evangelion
Entertainment: Japanese Anime & Manga,multiple,medium,"In the ADV (English) Dub of the anime &quot;Ghost Stories&quot;, which character is portrayed as a Pentacostal Christian?",Momoko Koigakubo,Hajime Aoyama,Satsuki Miyanoshita,Mio Itai
Entertainment: Japanese Anime & Manga,multiple,medium,Which anime did Seiji Kishi NOT direct?,Another,Humanity Has Declined,Assassination Classroom,Danganronpa: The Animation
Entertainment: Japanese Anime & Manga,multiple,medium,The heroine of &quot;Humanity Has Declined&quot; is a mediator between humans and what?,Fairies,Elves,The Earth,Animals
Entertainment: Japanese Anime & Manga,multiple,easy,"The two main characters of &quot;No Game No Life&quot;, Sora and Shiro, together go by what name?",Blank,Immanity,Disboard,Warbeasts
Entertainment: Japanese Anime & Manga,boolean,hard,Druid is a mage class in &quot;Log Horizon&quot;.,False,True,,
Entertainment: Japanese Anime & Manga,multiple,easy,Satella in &quot;Re:Zero&quot; is the witch of what?,Envy,Pride,Sloth,Wrath
Entertainment: Japanese Anime & Manga,multiple,hard,In what year did the manga &quot;Ping Pong&quot; begin serialization?,1996,2014,2010,2003
Entertainment: Japanese Anime & Manga,multiple,medium,"In the &quot;Sailor Moon&quot; series, what is Sailor Jupiter&#039;s civilian name?",Makoto Kino,Minako Aino,Usagi Tsukino,Rei Hino
Entertainment: Japanese Anime & Manga,multiple,medium,Which of the stands from &quot;JoJo&#039;s Bizarre Adventure&quot; mimics the likeness of a tomato?,Pearl Jam,Red Hot Chili Pepper,Cream Starter,Nut King Call
Entertainment: Japanese Anime & Manga,multiple,medium,"In &quot;Toriko&quot;, which of the following foods is knowingly compatible with Toriko?",Poison Potato,Mors Oil,Alpacookie,Parmesansho Fruit
Entertainment: Japanese Anime & Manga,multiple,medium,What year does Part 7 of &quot;JoJo&#039;s Bizarre Adventure&quot; take place in?,1890,1888,1999,2003
Entertainment: Japanese Anime & Manga,multiple,medium,"In &quot;JoJo&#039;s Bizarre Adventure&quot;, which of the following Stands does NOT have a time-based ability?",20th Century Boy,Made in Heaven,Star Platinum,The World
Entertainment: Japanese Anime & Manga,multiple,medium,Who is the creator of the manga series &quot;One Piece&quot;?,Eiichiro Oda,Yoshihiro Togashi,Hayao Miyazaki,Masashi Kishimoto
Entertainment: Japanese Anime & Manga,multiple,hard,"In &quot;Hunter x Hunter&quot;, which of the following is NOT a type of Nen aura?",Restoration,Emission,Transmutation,Specialization
Entertainment: Japanese Anime & Manga,multiple,hard,"In &quot;Hunter x Hunter&quot;, what are members in Killua&#039;s family known for being?",Assassins,Bandits,Hunters,Ninjas
Entertainment: Japanese Anime & Manga,multiple,medium,Who voices the character &quot;Reigen&quot;  in the English dub of &quot;Mob Psycho 100&quot;?,Chris Niosi,Max Mittelman,Kyle McCarley,Casey Mongillo
Entertainment: Japanese Anime & Manga,multiple,medium,Who voices &quot;Shou Suzuki&quot; in the English dub of &quot;Mob Psycho 100&quot;?,Casey Mongillo,Ben Diskin,Chris Niosi,David Naughton
Entertainment: Japanese Anime & Manga,multiple,medium,What year did &quot;Bishoujo Senshi Sailor Moon&quot; air in Japan?,1992,1989,1990,1994
