category,type,difficulty,question,correct_answer,incorrect_answers/0,incorrect_answers/1,incorrect_answers/2
Entertainment: Video Games,multiple,medium,"In the Halo series, what fleet was Thel &#039;Vadam supreme commander of before being branded an Arbiter?",Fleet of Particular Justice,Fleet of Sacred Consecration,Fleet of Furious Redemption,Fleet of Righteous Vigilance
Entertainment: Video Games,boolean,easy,The end credits sequence in Grand Theft Auto 5 is over half an hour long.,True,False,,
Entertainment: Video Games,multiple,easy,The name of the Metroid series comes from what?,An enemy in the game,The final boss&#039;s name,The main character&#039;s name,A spaceship&#039;s name
Entertainment: Video Games,multiple,hard,"Which character, in the game &quot;Morenatsu&quot;, has the most possible endings to their route, at a total of four different endings?",Shin Kuroi,Kouya Aotsuki,Soutarou Touno,Torahiko Ooshima
Entertainment: Video Games,multiple,hard,"In the game Danganronpa: Happy Trigger Havoc, the character Aoi Asahina&#039;s ultimate ability is what?",Ultimate Swimmer,Ultimate Detective,Ultimate Gambler,Ultimate Dancer
Entertainment: Video Games,multiple,medium,Which survivor in Left 4 Dead sacrificed themself to save the other survivors?,Bill,Louis,Francis,Zoey
Entertainment: Video Games,multiple,medium,The default playermodel of Garry&#039;s Mod is this Half Life 2 character.,Isaac Kleiner,G-Man,Alyx Vance,Gordon Freeman
Entertainment: Video Games,multiple,easy,Which Animal Crossing game was for the Nintendo Wii?,Animal Crossing: City Folk,Animal Crossing: New Leaf,Animal Crossing: Wild World,Animal Crossing: Population Growing!
Entertainment: Video Games,multiple,medium,"In The Elder Scrolls V: Skyrim, who is the jester in the dark brotherhood?",Cicero,Lucien Lachance,Archimedes,Astrid
Entertainment: Video Games,boolean,easy,"In RuneScape, one must complete the &quot;Dragon Slayer&quot; quest before equipping Rune Platelegs.",False,True,,
Entertainment: Video Games,multiple,medium,In what year was &quot;Super Mario Sunshine&quot; released?,2002,2003,2000,2004
Entertainment: Video Games,multiple,easy,Which franchise was NOT featured in the 2015 video game &quot;Lego Dimensions&quot;?,Breaking Bad,Portal,Doctor Who,Back to the Future
Entertainment: Video Games,multiple,medium,Which of these operators from &quot;Tom Clancy&#039;s Rainbow Six Siege&quot; has the ability to damage reinforced walls?,Jordan &quot;Thermite&quot; Trace,Eliza &quot;Ash&quot; Cohen,Seamus &quot;Sledge&quot; Cowden,Dominic &quot;Bandit&quot; Brunsmeier
Entertainment: Video Games,multiple,hard,Which team won the &quot;Tom Clancy&#039;s Rainbow Six Siege&quot; Invitational Event February 2017 in the PC Category?,Continuum,GIFU,Santos Dexterity,eRa Eternity
Entertainment: Video Games,multiple,medium,What was the first Weapon Pack for Payday 2?,The Gage Weapon Pack #1,The Overkill Pack,The Gage Chivalry Pack,The Gage Historical Pack
Entertainment: Video Games,multiple,easy,What video game engine does the videogame Quake 2 run in?,iD Tech 2,iD Tech 3,iD Tech 1,Unreal Engine
Entertainment: Video Games,multiple,medium,Which of these stages is not playable in &quot;Super Smash Bros. for Wii U&quot;?,Fountain of Dreams,Bridge of Eldin,75m,Miiverse
Entertainment: Video Games,multiple,medium,When was &quot;System Shock&quot; released?,1994,1995,2000,1998
